,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label
0,5611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1,2,29,809,1197,9,87,664,14,86,36,1003,62,7,2689,57,13,8,273,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3,86,24,402,5,486,2,65,101,366,13,269,150,86,416,7,89,168,255,3180,8,2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4,18973,3,575,436,25,155,1067,45,97,19,19128,10,9,5,721,21,17,133,62,128,138,14721,106,477,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5,129,107,4,6,260,3,5196,7,377,5426,4,21,471,369,21,34,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
6,2,103,4755,4,10939,53,2,35,2353,4,21,35,1,1010,3,809,4166,520,222,133,12232,142,3,2935,39,86,247,134,614,512,27,1123,23,11297,4199,35,16910,591,14,293,142,27,674,61,1757,9,258,307,487,309,1.0
7,6,205,26,1,5341,6,133,16,1,961,8249,20,5243,16554,17926,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,4,21,25,60,90,43,48,400,6,810,286,5415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
9,304,62,324,133,482,8,882,7107,211,738,25,380,18,97,125,97,322,5794,62,211,325,322,8,18,676,228,1236,17,138,719,62,143,277,797,271,5,532,541,229,45,0,0,0,0,0,0,0,0,0,0,1.0
